Symbol,Price,Action,Score,Confidence,Horizon,L1_Score,L1_Reasoning,L2_Score,L2_Reasoning,L3_Score,L3_Reasoning,P_Target,P_Stop,Pred_Return,MarketCap_Cr,Rebound_Score,Oversold_Score,Valuation_Score,Growth_Score,Technical_Score,Momentum_Score,Flag_52W_LOW,Flag_OVERSOLD,Flag_Double_Bottom,Double_Bottom_Stage,Double_Bottom_Score,Pct_From_52W_High,Pct_From_52W_Low,52W_High,52W_Low,RSI,Final_Rank_Score,PE_Ratio,PB_Ratio,ROE,Revenue_Growth_Pct,Debt_Equity,Index_Name
ABBOTINDIA,25665.0,AVOID,39.9,0.28,4.4 days,73.1,High ROE (34.5%) | Low Leverage (D/E: 0.04) | Healthy Margins (22.4%),20.0,Neutral Setup,0.2,MC Target Prob: 0.2% | Expected Horizon: 4.4d,0.0,0.31,-0.0022,54781.0,65.8,80.0,55.0,60.0,50.0,85.0,YES,NO,NO,None,0.0,-27.08,0.71,35195.0,25485.0,38.7,47.7,35.2,11.47,34.5,6.5,0.04,Nifty Pharma
ABREL,1183.2,SELL,13.2,0.11,3.5 days,-2.2,Average Fundamentals,38.0,Constructive RSI (Neutral-Bullish),4.5,MC Target Prob: 6.4% | Expected Horizon: 3.5d,0.06,0.55,-0.0108,13206.0,53.0,76.7,35.0,30.0,65.0,55.0,YES,YES,YES,Breakdown,10.0,-52.67,8.06,2499.86,1094.9,55.4,25.1,0.0,3.57,-8.9,0.0,1.52,Nifty Realty
AJANTPHARM,2711.6,AVOID,48.4,0.33,4.0 days,84.6,Strong Revenue Growth (21.5%) | High ROE (25.4%) | Low Leverage (D/E: 0.06) | Healthy Margins (19.4%),20.0,Neutral Setup,16.6,MC Target Prob: 2.3% | Model Predicts Positive Return | Expected Horizon: 4.0d,0.02,0.43,0.0155,37091.0,76.0,70.0,55.0,90.0,65.0,85.0,NO,NO,YES,Forming Trough 2,55.0,-13.08,15.48,3119.5,2348.11,27.6,56.7,35.1,8.19,25.4,21.5,0.06,Nifty Pharma
ALKEM,5172.5,AVOID,49.7,0.36,4.3 days,81.4,High ROE (17.6%) | Low Leverage (D/E: 0.14) | Healthy Margins (15.6%),20.0,Neutral Setup,30.1,MC Target Prob: 0.2% | Model Predicts +2.3% (10d) | Expected Horizon: 4.3d,0.0,0.33,0.0229,64045.0,65.0,80.0,55.0,45.0,65.0,85.0,YES,NO,YES,Breakdown,10.0,-11.47,11.11,5842.9,4655.25,39.6,54.3,27.8,4.64,17.6,14.6,0.14,Nifty Pharma
ANANTRAJ,459.45,WAIT,57.1,0.46,3.3 days,79.6,Strong Revenue Growth (19.6%) | Low Leverage (D/E: 0.12) | Healthy Margins (22.1%),38.0,Constructive RSI (Neutral-Bullish),40.1,MC Target Prob: 14.5% | Model Predicts +5.3% (10d) | Expected Horizon: 3.3d,0.14,0.55,0.0532,18690.0,73.8,90.0,40.0,100.0,65.0,70.0,YES,YES,YES,Breakdown,10.0,-37.54,13.25,735.6,405.7,52.2,62.1,32.9,3.15,11.1,19.6,0.12,Nifty Realty
AUROPHARMA,1330.0,WAIT,64.3,0.51,4.1 days,67.0,Low Leverage (D/E: 0.21) | Healthy Margins (10.4%),80.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope,30.5,MC Target Prob: 0.7% | Model Predicts +2.1% (10d) | Expected Horizon: 4.1d,0.01,0.37,0.0211,83533.0,72.0,28.3,80.0,47.5,100.0,40.0,NO,NO,YES,Neckline Breakout,75.0,-0.9,30.11,1342.1,1022.2,57.4,66.6,24.0,2.23,9.9,5.6,0.21,Nifty Pharma
AXISBANK,1250.1,AVOID,40.7,0.31,4.3 days,60.7,Low Leverage (D/E: 0.00) | Healthy Margins (35.4%),38.0,Constructive RSI (Neutral-Bullish),0.3,MC Target Prob: 0.4% | Expected Horizon: 4.3d,0.0,0.32,-0.0349,408817.0,74.5,46.7,70.0,35.0,50.0,85.0,NO,NO,YES,Confirmed Bounce,70.0,-10.9,19.6,1403.0,1045.2,57.8,50.8,15.6,1.9,13.2,-11.2,0.0,Nifty Private Bank
BANDHANBNK,149.13,AVOID,41.3,0.29,3.7 days,74.9,Strong Revenue Growth (119.3%) | Low Leverage (D/E: 0.00) | Healthy Margins (13.0%),20.0,Neutral Setup,3.0,MC Target Prob: 4.3% | Expected Horizon: 3.7d,0.04,0.49,-0.0055,32182.0,91.6,80.0,52.5,100.0,50.0,70.0,YES,NO,YES,Confirmed Bounce,80.0,-20.64,10.08,187.92,135.47,31.2,56.4,26.3,1.26,4.9,119.3,0.0,Nifty Private Bank
BIOCON,340.05,SELL,27.6,0.25,4.0 days,38.4,Low Leverage (D/E: 0.42),20.0,Neutral Setup,16.6,MC Target Prob: 2.3% | Model Predicts Positive Return | Expected Horizon: 4.0d,0.02,0.42,0.0009,66278.0,53.0,80.0,40.0,22.5,50.0,70.0,YES,NO,YES,Breakdown,10.0,-19.34,11.17,421.6,305.89,31.6,35.2,146.2,1.92,1.1,2.3,0.42,Nifty Pharma
BRIGADE,691.5,AVOID,44.7,0.34,3.7 days,54.7,Low Leverage (D/E: 0.84) | Healthy Margins (11.3%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,2.3,MC Target Prob: 3.3% | Expected Horizon: 3.7d,0.03,0.5,-0.0118,15856.0,57.2,76.7,50.0,10.0,85.0,70.0,YES,YES,YES,Breakdown,10.0,-45.75,8.95,1274.72,634.7,58.2,48.4,2493.1,2.32,10.8,-0.2,0.84,Nifty Realty
BRITANNIA,5542.0,AVOID,42.0,0.34,4.5 days,64.3,High ROE (53.3%) | Low Leverage (D/E: 0.27) | Healthy Margins (13.2%),20.0,Neutral Setup,30.0,MC Target Prob: 0.1% | Model Predicts +2.9% (10d) | Expected Horizon: 4.5d,0.0,0.26,0.0295,124553.0,67.5,80.0,55.0,80.0,35.0,85.0,YES,NO,NO,None,0.0,-12.04,14.57,6300.5,4837.41,37.1,49.6,49.1,24.39,53.3,7.9,0.27,Nifty FMCG
CIPLA,1202.4,AVOID,33.5,0.28,4.4 days,52.2,Low Leverage (D/E: 0.02) | Healthy Margins (13.9%),20.0,Neutral Setup,15.1,MC Target Prob: 0.1% | Model Predicts Positive Return | Expected Horizon: 4.4d,0.0,0.32,0.0117,112121.0,49.2,63.3,55.0,10.0,50.0,70.0,YES,NO,YES,Breakdown,10.0,-27.72,0.84,1663.6,1192.4,24.1,38.2,28.9,3.41,11.7,-2.1,0.02,Nifty Pharma
COFORGE,1230.6,WAIT,55.1,0.38,3.9 days,77.6,Strong Revenue Growth (30.5%) | High ROE (18.6%) | Low Leverage (D/E: 0.08),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,2.6,MC Target Prob: 3.7% | Expected Horizon: 3.9d,0.04,0.43,-0.0547,62094.0,68.2,76.7,25.0,100.0,100.0,40.0,YES,YES,YES,Breakdown,10.0,-37.63,14.59,1973.19,1073.9,69.9,59.0,32.0,4.94,18.6,30.5,0.08,Nifty IT
COLPAL,1850.4,AVOID,44.8,0.35,4.2 days,70.7,High ROE (81.6%) | Low Leverage (D/E: 0.03) | Healthy Margins (22.0%),20.0,Neutral Setup,30.1,MC Target Prob: 0.1% | Model Predicts +3.5% (10d) | Expected Horizon: 4.2d,0.0,0.37,0.0353,55928.0,61.5,100.0,55.0,35.0,35.0,55.0,YES,YES,NO,None,0.0,-30.79,3.45,2673.73,1788.7,36.7,49.8,42.2,35.31,81.6,9.1,0.03,Nifty FMCG
DABUR,414.25,AVOID,41.9,0.34,4.4 days,64.3,High ROE (16.2%) | Low Leverage (D/E: 0.11) | Healthy Margins (14.4%),20.0,Neutral Setup,30.0,MC Target Prob: 0.0% | Model Predicts +6.8% (10d) | Expected Horizon: 4.4d,0.0,0.32,0.0678,75907.0,64.8,80.0,55.0,70.0,50.0,55.0,YES,NO,YES,Breakdown,10.0,-24.65,0.93,549.8,410.45,28.9,48.8,40.2,6.64,16.2,7.3,0.11,Nifty FMCG
DIVISLAB,5850.0,AVOID,42.2,0.31,4.3 days,71.3,High ROE (16.2%) | Low Leverage (D/E: 0.00) | Healthy Margins (24.3%),20.0,Neutral Setup,15.4,MC Target Prob: 0.6% | Model Predicts Positive Return | Expected Horizon: 4.3d,0.01,0.32,0.0141,173112.0,58.0,80.0,25.0,70.0,35.0,85.0,YES,NO,YES,Breakdown,10.0,-15.85,11.75,6951.85,5235.11,34.1,46.9,67.4,10.32,16.2,9.5,0.0,Nifty Pharma
DLF,534.1,SELL,12.7,0.1,3.9 days,-1.8,Low Leverage (D/E: 0.01) | Healthy Margins (53.9%),38.0,Constructive RSI (Neutral-Bullish),1.1,MC Target Prob: 1.5% | Expected Horizon: 3.9d,0.02,0.47,-0.0173,139410.0,58.0,90.0,55.0,10.0,65.0,55.0,YES,YES,NO,None,0.0,-38.89,5.95,873.96,504.1,47.5,26.3,31.6,3.07,10.0,-42.0,0.01,Nifty Realty
DRREDDY,1196.1,AVOID,31.3,0.27,4.5 days,47.3,Low Leverage (D/E: 0.20) | Healthy Margins (12.8%),20.0,Neutral Setup,15.1,MC Target Prob: 0.1% | Model Predicts Positive Return | Expected Horizon: 4.5d,0.0,0.26,0.0024,106187.0,65.5,80.0,65.0,10.0,65.0,85.0,YES,NO,YES,Forming Trough 2,55.0,-11.67,10.64,1354.11,1081.04,33.5,41.6,24.8,2.82,11.8,-11.6,0.2,Nifty Pharma
EMAMILTD,410.3,AVOID,43.0,0.36,3.8 days,58.5,High ROE (27.6%) | Low Leverage (D/E: 0.06) | Healthy Margins (20.5%),38.0,Constructive RSI (Neutral-Bullish),16.9,MC Target Prob: 2.7% | Model Predicts Positive Return | Expected Horizon: 3.8d,0.03,0.48,0.0003,17235.0,56.0,90.0,65.0,10.0,35.0,55.0,YES,YES,NO,None,0.0,-34.89,4.38,630.12,393.1,46.1,46.9,22.2,5.89,27.6,-3.9,0.06,Nifty FMCG
FEDERALBNK,275.15,WAIT,54.6,0.34,4.3 days,91.6,Low Leverage (D/E: 0.00) | Healthy Margins (29.9%),38.0,Constructive RSI (Neutral-Bullish),0.5,MC Target Prob: 0.7% | Expected Horizon: 4.3d,0.01,0.32,-0.0109,76686.0,80.0,28.3,70.0,90.0,50.0,85.0,NO,NO,YES,Confirmed Bounce,80.0,-8.24,48.24,299.85,185.61,57.5,62.2,17.8,1.92,11.7,12.3,0.0,Nifty Private Bank
GLAND,1716.4,WAIT,53.9,0.37,4.0 days,75.9,Strong Revenue Growth (22.3%) | Low Leverage (D/E: 0.03) | Healthy Margins (16.0%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,0.7,MC Target Prob: 1.0% | Expected Horizon: 4.0d,0.01,0.4,-0.0128,37080.0,67.5,46.7,55.0,100.0,65.0,100.0,NO,NO,NO,None,0.0,-17.59,24.38,2082.7,1379.94,61.8,58.0,36.1,3.57,10.5,22.3,0.03,Nifty Pharma
GLENMARK,2114.1,WAIT,60.0,0.44,4.1 days,68.3,Low Leverage (D/E: 0.06),74.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Bullish Pullback Entry,16.6,MC Target Prob: 2.3% | Model Predicts Positive Return | Expected Horizon: 4.1d,0.02,0.36,0.0113,61421.0,83.8,43.3,40.0,90.0,85.0,100.0,NO,NO,YES,Confirmed Bounce,80.0,-6.98,57.87,2272.7,1339.12,44.6,67.1,45.1,6.41,14.1,14.3,0.06,Nifty Pharma
GODREJCP,1024.06,AVOID,48.3,0.41,4.2 days,64.3,High ROE (15.1%) | Low Leverage (D/E: 0.35) | Healthy Margins (12.3%),38.0,Constructive RSI (Neutral-Bullish),30.2,MC Target Prob: 0.3% | Model Predicts +5.9% (10d) | Expected Horizon: 4.2d,0.0,0.36,0.0595,105149.0,57.5,70.0,40.0,60.0,50.0,70.0,YES,NO,YES,Breakdown,10.0,-19.78,4.5,1276.52,979.93,50.3,51.1,56.3,8.3,15.1,8.4,0.35,Nifty FMCG
GODREJPROP,1605.0,WAIT,59.0,0.45,3.7 days,87.0,Strong Revenue Growth (63.0%) | Low Leverage (D/E: 0.82) | Healthy Margins (36.1%),38.0,Constructive RSI (Neutral-Bullish),32.9,MC Target Prob: 4.1% | Model Predicts +3.1% (10d) | Expected Horizon: 3.7d,0.04,0.51,0.0315,49446.0,75.2,90.0,55.0,100.0,50.0,70.0,YES,YES,YES,Breakdown,10.0,-34.95,9.09,2467.3,1471.3,52.5,63.9,26.7,2.58,10.0,63.0,0.82,Nifty Realty
HCLTECH,1414.52,WAIT,52.2,0.36,4.3 days,72.4,High ROE (23.4%) | Low Leverage (D/E: 0.07) | Healthy Margins (12.8%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,0.2,MC Target Prob: 0.3% | Expected Horizon: 4.3d,0.0,0.32,-0.0016,306320.0,76.0,56.7,55.0,35.0,85.0,55.0,YES,NO,YES,Confirmed Bounce,70.0,-16.65,9.89,1697.11,1287.16,69.3,59.3,18.5,4.02,23.4,5.3,0.07,Nifty IT
HDFCBANK,772.0,AVOID,47.0,0.33,4.5 days,74.8,Low Leverage (D/E: 0.00) | Healthy Margins (26.8%),38.0,Constructive RSI (Neutral-Bullish),0.0,MC Target Prob: 0.0% | Expected Horizon: 4.5d,0.0,0.25,-0.0321,1149965.0,59.2,80.0,70.0,35.0,35.0,55.0,YES,NO,NO,None,0.0,-23.78,5.53,1012.9,731.55,41.3,50.7,16.7,1.96,13.8,-1.8,0.0,Nifty Private Bank
HINDUNILVR,2110.6,AVOID,45.1,0.36,4.5 days,64.0,High ROE (21.6%) | Low Leverage (D/E: 0.03) | Healthy Margins (23.3%),38.0,Constructive RSI (Neutral-Bullish),15.0,MC Target Prob: 0.0% | Model Predicts Positive Return | Expected Horizon: 4.5d,0.0,0.27,0.0199,509744.0,69.5,80.0,55.0,67.5,65.0,85.0,YES,NO,YES,Breakdown,10.0,-21.0,2.85,2671.6,2052.2,43.3,52.4,48.0,10.46,21.6,4.3,0.03,Nifty FMCG
ICICIBANK,1245.5,WAIT,64.3,0.44,4.6 days,100.0,Strong Revenue Growth (66.9%) | High ROE (16.4%) | Low Leverage (D/E: 0.00) | Healthy Margins (24.9%),38.0,Constructive RSI (Neutral-Bullish),30.0,MC Target Prob: 0.0% | Model Predicts +3.3% (10d) | Expected Horizon: 4.6d,0.0,0.23,0.0329,927428.0,69.0,70.0,55.0,80.0,65.0,85.0,YES,NO,NO,None,0.0,-15.69,3.28,1477.2,1205.9,48.0,65.7,17.3,2.55,16.4,66.9,0.0,Nifty Private Bank
IDFCFIRSTB,61.19,AVOID,36.2,0.29,4.0 days,50.5,Low Leverage (D/E: 0.00) | Healthy Margins (32.8%),38.0,Constructive RSI (Neutral-Bullish),0.9,MC Target Prob: 1.3% | Expected Horizon: 4.0d,0.01,0.42,-0.0178,62868.0,46.9,70.0,52.5,10.0,35.0,55.0,YES,NO,YES,Breakdown,10.0,-28.91,11.7,86.07,54.78,46.2,39.4,38.8,1.34,0.0,-1.1,0.0,Nifty Private Bank
INDUSINDBK,784.8,AVOID,40.0,0.31,3.7 days,58.5,Strong Revenue Growth (272.7%) | Low Leverage (D/E: 0.00),38.0,Constructive RSI (Neutral-Bullish),2.0,MC Target Prob: 2.9% | Expected Horizon: 3.7d,0.03,0.51,-0.0238,68871.0,61.6,70.0,52.5,65.0,50.0,70.0,NO,NO,YES,Breakdown,10.0,-18.64,20.77,964.6,649.85,44.3,46.5,77.3,1.05,1.4,272.7,0.0,Nifty Private Bank
INFY,1339.4,WAIT,54.2,0.37,4.3 days,76.7,High ROE (31.4%) | Low Leverage (D/E: 0.10) | Healthy Margins (16.4%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,0.3,MC Target Prob: 0.4% | Expected Horizon: 4.3d,0.0,0.34,-0.0017,463687.0,68.5,56.7,65.0,70.0,85.0,85.0,YES,NO,NO,None,0.0,-20.74,9.71,1689.8,1220.8,66.6,58.5,15.1,4.97,31.4,6.6,0.1,Nifty IT
IPCALAB,1442.2,AVOID,36.3,0.27,4.0 days,64.5,Low Leverage (D/E: 0.08) | Healthy Margins (11.8%),20.0,Neutral Setup,1.4,MC Target Prob: 2.1% | Expected Horizon: 4.0d,0.02,0.4,-0.0048,41846.0,90.2,71.7,40.0,80.0,85.0,100.0,YES,NO,YES,Confirmed Bounce,80.0,-9.93,13.68,1601.2,1268.7,28.8,52.5,36.7,5.19,13.2,6.2,0.08,Nifty Pharma
ITC,298.45,AVOID,41.7,0.31,4.5 days,63.0,High ROE (29.3%) | Low Leverage (D/E: 0.03) | Healthy Margins (26.2%),38.0,Constructive RSI (Neutral-Bullish),0.0,MC Target Prob: 0.1% | Expected Horizon: 4.5d,0.0,0.27,-0.0059,355398.0,54.5,70.0,65.0,10.0,65.0,55.0,YES,NO,NO,None,0.0,-29.93,3.74,425.96,287.7,47.1,45.5,17.2,4.9,29.3,-5.0,0.03,Nifty FMCG
JBCHEPHARM,1961.9,AVOID,35.3,0.31,4.2 days,49.3,High ROE (18.7%) | Low Leverage (D/E: 0.00) | Healthy Margins (17.1%),20.0,Neutral Setup,30.5,MC Target Prob: 0.7% | Model Predicts +2.2% (10d) | Expected Horizon: 4.2d,0.01,0.36,0.0219,34886.0,42.0,51.7,25.0,10.0,65.0,85.0,NO,NO,NO,None,0.0,-8.26,31.79,2138.6,1488.66,28.7,37.3,48.9,8.39,18.7,-4.8,0.0,Nifty Pharma
KOTAKBANK,362.95,AVOID,43.0,0.39,4.4 days,52.5,Low Leverage (D/E: 0.00) | Healthy Margins (26.0%),38.0,Constructive RSI (Neutral-Bullish),30.0,MC Target Prob: 0.1% | Model Predicts +2.1% (10d) | Expected Horizon: 4.4d,0.0,0.29,0.0207,386022.0,60.0,70.0,70.0,35.0,50.0,70.0,YES,NO,YES,Breakdown,10.0,-19.92,2.7,453.24,353.4,47.2,48.1,20.0,2.13,11.4,-11.0,0.0,Nifty Private Bank
LAURUSLABS,1056.4,WAIT,61.8,0.5,4.0 days,60.6,High ROE (17.7%) | Low Leverage (D/E: 0.46) | Healthy Margins (13.0%),80.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope,32.8,MC Target Prob: 4.0% | Model Predicts +6.1% (10d) | Expected Horizon: 4.0d,0.04,0.38,0.0607,75889.0,61.5,20.0,25.0,70.0,35.0,100.0,NO,NO,YES,Confirmed Bounce,70.0,-6.3,88.82,1127.38,559.47,58.2,61.7,89.9,14.31,17.7,5.3,0.46,Nifty Pharma
LODHA,717.65,AVOID,47.3,0.36,3.6 days,74.6,High ROE (15.7%) | Low Leverage (D/E: 0.42) | Healthy Margins (20.6%),20.0,Neutral Setup,33.4,MC Target Prob: 4.9% | Model Predicts +5.1% (10d) | Expected Horizon: 3.6d,0.05,0.52,0.0511,86106.0,64.5,83.3,55.0,60.0,65.0,40.0,YES,YES,NO,None,0.0,-52.51,6.0,1511.02,677.0,22.3,52.5,25.2,3.7,15.7,7.6,0.42,Nifty Realty
LUPIN,2298.3,BUY,72.6,0.54,4.3 days,90.4,Strong Revenue Growth (31.9%) | High ROE (26.9%) | Low Leverage (D/E: 0.29) | Healthy Margins (19.1%),74.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Bullish Pullback Entry,30.4,MC Target Prob: 0.5% | Model Predicts +4.4% (10d) | Expected Horizon: 4.3d,0.01,0.3,0.0438,103083.0,69.2,51.7,65.0,100.0,70.0,70.0,NO,NO,NO,None,0.0,-2.5,24.11,2357.3,1851.8,47.5,71.6,19.4,4.59,26.9,31.9,0.29,Nifty Pharma
MANKIND,2040.1,AVOID,40.0,0.31,4.1 days,66.3,Low Leverage (D/E: 0.38) | Healthy Margins (13.4%),20.0,Neutral Setup,15.9,MC Target Prob: 1.2% | Model Predicts Positive Return | Expected Horizon: 4.1d,0.01,0.39,0.0042,97339.0,64.2,80.0,25.0,90.0,50.0,85.0,YES,NO,YES,Breakdown,10.0,-24.31,5.85,2695.44,1927.4,39.6,47.3,51.0,5.97,12.5,11.8,0.38,Nifty Pharma
MARICO,753.25,WAIT,52.6,0.43,4.5 days,74.1,Strong Revenue Growth (22.1%) | High ROE (41.4%) | Low Leverage (D/E: 0.12) | Healthy Margins (12.9%),38.0,Constructive RSI (Neutral-Bullish),30.1,MC Target Prob: 0.1% | Model Predicts +4.6% (10d) | Expected Horizon: 4.5d,0.0,0.27,0.0457,106249.0,81.0,51.7,40.0,90.0,50.0,100.0,NO,NO,YES,Confirmed Bounce,80.0,-7.05,17.48,810.35,641.16,50.3,61.1,60.4,25.05,41.4,22.1,0.12,Nifty FMCG
MPHASIS,2328.1,WAIT,60.7,0.39,4.0 days,78.4,High ROE (18.3%) | Low Leverage (D/E: 0.24) | Healthy Margins (11.7%),72.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope | Volume Breakout Detected,1.1,MC Target Prob: 1.6% | Expected Horizon: 4.0d,0.02,0.41,-0.0063,43846.0,61.2,56.7,40.0,80.0,65.0,85.0,YES,NO,YES,Breakdown,10.0,-22.41,13.71,3000.6,2047.4,66.1,60.8,24.4,4.31,18.3,14.4,0.24,Nifty IT
