Symbol,Price,Action,Score,Confidence,Horizon,L1_Score,L1_Reasoning,L2_Score,L2_Reasoning,L3_Score,L3_Reasoning,P_Target,P_Stop,Pred_Return,MarketCap_Cr,Rebound_Score,Oversold_Score,Valuation_Score,Growth_Score,Technical_Score,Momentum_Score,Flag_52W_LOW,Flag_OVERSOLD,Flag_Double_Bottom,Double_Bottom_Stage,Double_Bottom_Score,Pct_From_52W_High,Pct_From_52W_Low,52W_High,52W_Low,RSI,Final_Rank_Score,PE_Ratio,PB_Ratio,ROE,Revenue_Growth_Pct,Debt_Equity,Index_Name,Macro_Sentiment_Multiplier,Systemic_Risk_Off,Combined_Score,Base_Rank_Score
ABREL,1215.7,SELL,12.1,0.11,3.4 days,-2.2,Average Fundamentals,20.0,Neutral Setup,19.7,MC Target Prob: 6.7% | Model Predicts Positive Return | Expected Horizon: 3.4d,0.07,0.55,0.004,13206.0,61.5,100.0,35.0,30.0,65.0,70.0,YES,YES,YES,Breakdown,10.0,-51.37,11.03,2499.86,1094.9,36.5,26.9,0.0,3.57,-8.9,0.0,1.52,Nifty Realty,0.0,False,26.9,26.9
ANANTRAJ,537.3,WAIT,53.9,0.42,3.3 days,79.6,Strong Revenue Growth (19.6%) | Low Leverage (D/E: 0.12) | Healthy Margins (22.1%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,26.4,MC Target Prob: 16.2% | Model Predicts Positive Return | Expected Horizon: 3.3d,0.16,0.54,0.0084,18690.0,86.0,36.7,40.0,100.0,100.0,100.0,NO,NO,YES,Confirmed Bounce,80.0,-26.96,32.44,735.6,405.7,64.6,63.5,32.9,3.15,11.1,19.6,0.12,Nifty Realty,0.0,False,63.5,63.5
ASHOKLEY,141.02,AVOID,41.3,0.33,3.9 days,68.3,Strong Revenue Growth (17.4%) | High ROE (21.6%),20.0,Neutral Setup,32.4,MC Target Prob: 3.5% | Model Predicts +3.0% (10d) | Expected Horizon: 3.9d,0.03,0.43,0.0296,83139.0,72.5,90.0,65.0,100.0,35.0,40.0,NO,YES,YES,Breakdown,10.0,-33.46,23.01,211.92,114.64,38.2,50.7,23.9,5.37,21.6,17.4,3.45,Nifty Auto,0.0,False,50.7,50.7
AXISBANK,1268.1,AVOID,48.6,0.42,4.3 days,60.7,Low Leverage (D/E: 0.00) | Healthy Margins (35.4%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,30.1,MC Target Prob: 0.2% | Model Predicts +2.5% (10d) | Expected Horizon: 4.3d,0.0,0.32,0.025,408817.0,76.5,38.3,70.0,35.0,70.0,100.0,NO,NO,YES,Confirmed Bounce,80.0,-9.62,21.33,1403.0,1045.2,58.6,57.0,15.6,1.9,13.2,-11.2,0.0,Nifty Private Bank,0.0,False,57.0,57.0
BAJAJ-AUTO,10231.0,WAIT,51.2,0.32,4.3 days,82.6,Strong Revenue Growth (48.8%) | High ROE (28.0%) | Low Leverage (D/E: 0.56) | Healthy Margins (16.5%),74.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Bullish Pullback Entry,0.3,MC Target Prob: 0.4% | Expected Horizon: 4.3d,0.0,0.32,-0.0084,283293.0,94.5,51.7,65.0,100.0,85.0,100.0,NO,NO,YES,Confirmed Bounce,70.0,-4.49,27.76,10711.5,8008.0,50.9,64.2,26.4,7.3,28.0,48.8,0.56,Nifty Auto,0.0,False,64.2,64.2
BANDHANBNK,202.91,AVOID,47.9,0.33,3.7 days,74.9,Strong Revenue Growth (119.3%) | Low Leverage (D/E: 0.00) | Healthy Margins (13.0%),68.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Overbought RSI | Positive Trend Slope,3.8,MC Target Prob: 5.4% | Expected Horizon: 3.7d,0.05,0.47,-0.0468,32182.0,76.4,28.3,52.5,100.0,85.0,70.0,NO,NO,YES,Neckline Breakout,75.0,-2.86,49.78,208.88,135.47,70.8,56.4,26.3,1.26,4.9,119.3,0.0,Nifty Private Bank,0.0,False,56.4,56.4
BHARATFORG,1893.1,WAIT,61.2,0.46,4.0 days,64.7,Strong Revenue Growth (17.5%) | Low Leverage (D/E: 0.76),92.0,Bullish Trend Alignment (Price > SMA50 > SMA200) | Constructive RSI (Neutral-Bullish) | Positive Trend Slope | Bullish Pullback Entry,31.4,MC Target Prob: 2.0% | Model Predicts +3.7% (10d) | Expected Horizon: 4.0d,0.02,0.39,0.0373,93189.0,49.5,20.0,25.0,55.0,85.0,85.0,NO,NO,YES,Forming Trough 2,55.0,-5.01,71.25,1992.9,1105.44,57.6,57.7,86.5,9.74,11.6,17.5,0.76,Nifty Auto,0.0,False,57.7,57.7
BOSCHLTD,36610.0,WAIT,53.6,0.44,4.2 days,74.7,Strong Revenue Growth (18.0%) | High ROE (19.4%) | Low Leverage (D/E: 0.01) | Healthy Margins (13.8%),56.0,Constructive RSI (Neutral-Bullish) | Positive Trend Slope,30.5,MC Target Prob: 0.8% | Model Predicts +3.0% (10d) | Expected Horizon: 4.2d,0.01,0.35,0.03,111456.0,84.2,60.0,40.0,67.5,85.0,100.0,NO,NO,YES,Confirmed Bounce,80.0,-11.77,27.36,41495.0,28745.0,46.3,62.8,40.1,7.51,19.4,18.0,0.01,Nifty Auto,0.0,False,62.8,62.8
BRIGADE,643.15,AVOID,36.5,0.31,3.7 days,54.7,Low Leverage (D/E: 0.84) | Healthy Margins (11.3%),38.0,Constructive RSI (Neutral-Bullish),17.1,MC Target Prob: 3.0% | Model Predicts Positive Return | Expected Horizon: 3.7d,0.03,0.51,0.0163,15856.0,61.2,100.0,50.0,10.0,65.0,70.0,YES,YES,YES,Breakdown,10.0,-49.55,1.33,1274.72,634.7,40.2,43.9,2493.1,2.32,10.8,-0.2,0.84,Nifty Realty,0.0,False,43.9,43.9
BRITANNIA,5078.5,AVOID,33.8,0.26,4.5 days,64.3,High ROE (53.3%) | Low Leverage (D/E: 0.27) | Healthy Margins (13.2%),20.0,Neutral Setup,15.0,MC Target Prob: 0.0% | Model Predicts Positive Return | Expected Horizon: 4.5d,0.0,0.27,0.017,124553.0,61.0,63.3,55.0,80.0,35.0,70.0,YES,NO,YES,Breakdown,10.0,-19.4,0.29,6300.5,5064.0,15.5,42.0,49.1,24.39,53.3,7.9,0.27,Nifty FMCG,0.0,False,42.0,42.0
